id,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,a,,,,,,,,,True
1,phrase_line,a,0,0,σου,False,False,True,,,False
2,phrase_line,a,0,0,η,False,False,False,,,False
3,phrase_line,a,p0,0,τρο,False,False,False,,,False
4,phrase_line,G,a,-1,παι,False,False,False,,,False
5,phrase_line,a,oo,1,ού,True,False,False,,,False
6,phrase_line,G,a,-1,χος,False,False,True,,,False
7,phrase_line,E,a2,-2,δε,False,True,False,,,False
8,phrase_line,F,kk,1,-,False,False,False,,,False
9,phrase_line,"G,a",okk,"1,1",ξι,False,False,False,,,False
10,phrase_line,a,0,0,ά,True,False,True,ap,,True
11,phrase_line,a,p0,0,θε,False,False,False,,,False
12,phrase_line,G,a,-1,ο,False,False,False,,,False
13,phrase_line,a,o,1,πρε,False,False,False,,,False
14,phrase_line,b,o,1,πώς,True,False,True,,,False
15,phrase_line,c,o,1,εν,False,False,True,,,False
16,phrase_line,c,0,0,ι,False,False,False,,,False
17,phrase_line,d,p,1,σχύ,True,False,False,,,False
18,phrase_line,c,a,-1,ει,False,False,True,kl,,False
19,phrase_line,b,a,-1,δε,False,False,False,,,False
20,phrase_line,c,oo,1,δό,True,False,False,,,False
21,phrase_line,b,a,-1,ξα,False,False,False,,,False
22,phrase_line,a,aa,-1,σται,False,True,True,,,False
23,phrase_line,"b,c",kkoo,"1,1",-,False,False,True,,,True
24,phrase_line,d,p,1,αύ,True,False,False,,,False
25,phrase_line,c,a,-1,τη,False,False,True,,,False
26,phrase_line,c,p0,0,γαρ,False,False,True,,,False
27,phrase_line,b,a,-1,α,False,False,False,,,False
28,phrase_line,c,oo,1,θά,True,False,False,,,False
29,phrase_line,b,a,-1,να,False,False,False,,,False
30,phrase_line,a,a,-1,τε,False,False,True,,,True
31,phrase_line,a,0,0,ως,False,False,True,,,False
32,phrase_line,a,0,0,παν,False,False,False,,,False
33,phrase_line,b,o,1,σθε,False,False,False,,,False
34,phrase_line,c,oo,1,νής,True,False,True,,,False
35,phrase_line,b,a,-1,υ,False,False,False,,,False
36,phrase_line,a,a,-1,πε,False,False,False,,,False
37,phrase_line,a,0,0,να,False,False,False,,,False
38,phrase_line,a,0,0,ντί,True,False,False,,,False
39,phrase_line,c,p2,2,ους,False,False,False,,,False
40,phrase_line,b,a,-1,έ,True,False,False,kl,,False
41,phrase_line,G,a2,-2,θραυ,False,False,False,,,False
42,phrase_line,c,o3,3,σε,False,False,True,dd,,True
43,phrase_line,c,0,0,τους,False,False,True,,,False
44,phrase_line,c,0,0,ι,False,False,False,,,False
45,phrase_line,c,0,0,σρα,False,False,False,,,False
46,phrase_line,d,p,1,η,False,False,False,,,False
47,phrase_line,a,aa3,-3,λί,True,True,False,,,False
48,phrase_line,"b,c",ookk,"1,1",-,True,True,False,,,False
49,phrase_line,b,a,-1,-,True,False,False,g,,False
50,phrase_line,c,o,1,τας,False,True,True,dd,,False
51,phrase_line,d,p,1,-,False,False,True,,,True
52,phrase_line,c,a,-1,ο,False,False,False,,,False
53,phrase_line,d,p,1,δόν,True,False,True,,,False
54,phrase_line,c,a,-1,βυ,False,False,False,,,False
55,phrase_line,d,p,1,θού,True,False,True,,,False
56,phrase_line,b,a2,-2,και,False,True,False,,,False
57,phrase_line,c,kk,1,-,False,False,False,,,False
58,phrase_line,a,a2,-2,νουρ,False,False,False,,,False
59,phrase_line,c,oo2,2,γή,True,False,False,,,False
60,phrase_line,b,a,-1,σα,False,False,False,,,False
61,phrase_line,a,a,-1,σα,False,False,True,,,True
