id,m/p,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,d,,,,,,,,,True
1,phrase_line,d,0,0,ο,False,False,True,,,False
2,phrase_line,d,p0,0,φω,False,False,False,anr,,False
3,phrase_line,c,aa,-1,τί,True,True,False,,,False
4,phrase_line,d,oo,1,-,True,False,False,g,,False
5,phrase_line,d,0,0,σας,False,False,True,ap,,True
6,phrase_line,c,a,-1,τη,False,False,True,,,False
7,phrase_line,c,0,0,ελ,False,False,False,,,False
8,phrase_line,e,o2,2,λάμ,True,False,False,,,False
9,phrase_line,e,0,0,ψει,False,False,True,,,False
10,phrase_line,f,o,1,της,False,False,True,,,False
11,phrase_line,g,oo,1,σής,True,False,True,psr,,False
12,phrase_line,f,a,-1,πα,False,False,False,,,False
13,phrase_line,e,a,-1,ρου,False,False,False,,,False
14,phrase_line,f,oo,1,σί,True,False,False,psr,,False
15,phrase_line,e,a,-1,ας,False,False,True,,,False
16,phrase_line,d,a,-1,χρι,False,False,False,"g,is",,False
17,phrase_line,d,0,0,στέ,True,False,True,ap,,True
18,martyria,d,,,,,,,,,True
19,phrase_line,d,0,0,και,False,False,True,,,False
20,phrase_line,d,p0,0,φαι,False,False,False,l,,False
21,phrase_line,c,aa,-1,δρύ,True,True,False,,,False
22,phrase_line,d,oo,1,-,True,False,False,g,,False
23,phrase_line,d,0,0,νας,False,False,True,ap,,True
24,phrase_line,c,a,-1,τω,False,False,True,,,False
25,phrase_line,d,o,1,σταυ,False,False,False,,,False
26,phrase_line,e,o,1,ρώ,True,False,True,,,False
27,phrase_line,e,0,0,σου,False,False,True,,,False
28,phrase_line,f,o,1,του,False,False,True,,,False
29,phrase_line,g,oo,1,κό,True,False,False,psr,,False
30,phrase_line,f,a,-1,σμου,False,False,True,,,False
31,phrase_line,e,a,-1,τα,False,False,True,,,False
32,phrase_line,f,oo,1,πέ,True,False,False,psr,,False
33,phrase_line,e,a,-1,ρα,False,False,False,klr,,False
34,phrase_line,d,aa,-1,τα,False,False,True,,,True
35,phrase_line,a,a3,-3,τας,False,False,True,,,False
36,phrase_line,a,0,0,καρ,False,False,False,,,False
37,phrase_line,d,o3,3,δί,True,False,False,,,False
38,phrase_line,d,0,0,ας,False,False,True,,,False
39,phrase_line,e,p,1,φώ,True,False,False,,,False
40,phrase_line,d,a,-1,τι,False,False,False,,,False
41,phrase_line,c,a,-1,σον,False,True,True,v,v,False
42,phrase_line,"b,a",s,"-1,-1",-,False,False,True,v,,False
43,phrase_line,b,o,1,φω,False,False,False,kl,,False
44,phrase_line,d,o2,2,τί,True,False,True,ap,,True
45,phrase_line,c,a,-1,της,False,False,True,,,False
46,phrase_line,c,p0,0,σής,True,False,True,klr,,False
47,phrase_line,a,a2,-2,θε,False,False,False,,,False
48,phrase_line,b,o,1,ο,False,False,False,,,False
49,phrase_line,c,o,1,γνω,False,False,False,"g,is",,False
50,phrase_line,e,p2,2,σί,True,False,False,l,,False
51,phrase_line,d,a,-1,ας,False,False,True,ap,,True
52,martyria,d,,,,,,,,,True
53,phrase_line,c,a,-1,των,False,False,True,,,False
54,phrase_line,c,0,0,ορ,False,False,False,,,False
55,phrase_line,c,0,0,θο,False,False,False,,,False
56,phrase_line,c,oo0,0,δό,True,False,False,psr,,False
57,phrase_line,b,a,-1,ξως,False,False,True,,,False
58,phrase_line,a,a,-1,υ,False,False,False,,,False
59,phrase_line,d,p3,3,μνού,True,True,False,"g,psr",,False
60,phrase_line,c,a,-1,-,True,True,False,,,False
61,phrase_line,c,0,0,-,True,True,False,v,v,False
62,phrase_line,b,a,-1,-,True,False,False,v,,False
63,phrase_line,b,p0,0,ντων,False,True,True,l,l,False
64,phrase_line,a,a,-1,-,False,False,True,l,,False
65,phrase_line,a,0,0,σε,False,False,True,ap,,True
