id,m/p,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,a,,,,,,,,,True
1,phrase_line,a,0,0,ό,True,False,False,,,False
2,phrase_line,a,0,0,ρος,False,False,True,,,False
3,phrase_line,a,0,0,σε,False,False,True,,,False
4,phrase_line,b,o,1,τη,False,False,False,,,False
5,phrase_line,c,p,1,χά,True,False,False,,,False
6,phrase_line,a,a2,-2,ρη,False,False,False,,,False
7,phrase_line,b,o,1,τι,False,False,True,,,False
8,phrase_line,c,o,1,τη,False,False,True,,,False
9,phrase_line,d,o,1,θει,False,False,False,,,False
10,phrase_line,d,0,0,α,False,False,True,ap,,True
11,phrase_line,c,a,-1,κα,False,False,False,,,False
12,phrase_line,e,p2,2,τά,True,False,False,,,False
13,phrase_line,d,a,-1,σκι,False,False,False,,,False
14,phrase_line,d,p0,0,ον,False,False,True,,,False
15,phrase_line,c,a,-1,προ,False,True,False,"klr,v","klr,v",False
16,phrase_line,b,a,-1,-,False,False,False,"klr,v",,False
17,phrase_line,c,o,1,βλε,False,False,False,"g,is",,False
18,phrase_line,d,o,1,πτι,False,False,False,"g,is",,False
19,phrase_line,e,o,1,κοίς,True,False,True,,,False
20,phrase_line,e,0,0,ο,False,False,True,,,False
21,phrase_line,e,0,0,α,False,False,False,,,False
22,phrase_line,e,0,0,βα,False,False,False,,,False
23,phrase_line,e,p0,0,κούμ,True,True,True,,,False
24,phrase_line,d,a,-1,-,True,False,True,,,False
25,phrase_line,d,0,0,κα,False,True,False,"kl,v","kl,v",False
26,phrase_line,"c,b",s,"-1,-1",-,False,False,False,"kl,v",,False
27,phrase_line,c,oo,1,τα,False,False,False,,,False
28,phrase_line,d,o,1,νο,False,False,False,,,False
29,phrase_line,e,p,1,ή,True,False,False,klr,,False
30,phrase_line,d,a,-1,σας,False,False,True,g,,False
31,phrase_line,d,0,0,ο,False,True,False,v,v,False
32,phrase_line,c,a,-1,-,False,False,False,v,,False
33,phrase_line,c,0,0,φθαλ,False,True,False,"g,is,v",v,False
34,phrase_line,b,a,-1,-,False,False,False,v,,False
35,phrase_line,d,o2,2,μοίς,True,False,True,ap,,True
36,martyria,d,,,,,,,,,True
37,phrase_line,d,0,0,εξ,False,False,False,,,False
38,phrase_line,g,oo3,3,ου,False,False,True,,,False
39,phrase_line,f,a,-1,ε,False,False,False,kl,kl,False
40,phrase_line,d,a2,-2,ξε,False,False,False,kl,,False
41,phrase_line,d,oo0,0,λεύ,True,False,False,,,False
42,phrase_line,c,a,-1,σε,False,False,False,kl,kl,False
43,phrase_line,a,a2,-2,σθαι,False,False,True,kl,,False
44,phrase_line,a,0,0,του,False,False,True,,,False
45,phrase_line,b,o,1,ι,False,False,False,,,False
46,phrase_line,c,o,1,σρα,False,False,False,"g,is",,False
47,phrase_line,d,o,1,ήλ,True,False,True,ap,,True
48,martyria,d,,,,,,,,,True
49,phrase_line,c,a,-1,προ,False,False,False,"g,is",,False
50,phrase_line,c,0,0,α,False,False,False,,,False
51,phrase_line,c,0,0,νε,False,False,False,,,False
52,phrase_line,f,oo3,3,φώ,True,False,False,,,False
53,phrase_line,e,a,-1,νει,False,False,True,,,False
54,phrase_line,d,a,-1,τον,False,False,True,,,False
55,phrase_line,e,p,1,ά,True,False,False,,,False
56,phrase_line,d,a,-1,γι,False,False,False,,,False
57,phrase_line,d,0,0,ον,False,False,True,ap,,True
58,phrase_line,c,a,-1,εις,False,False,True,,,False
59,phrase_line,c,0,0,σω,False,False,False,,,False
60,phrase_line,c,0,0,τη,False,False,False,,,False
61,phrase_line,e,oo2,2,ρί,True,False,False,psr,,False
62,phrase_line,d,a,-1,αν,False,False,True,,,False
63,phrase_line,c,a,-1,η,False,False,False,,,False
64,phrase_line,c,oo0,0,μών,True,False,True,psr,,False
65,phrase_line,b,a,-1,και,False,False,True,klr,,False
66,phrase_line,a,a,-1,α,False,False,False,,,False
67,phrase_line,d,p3,3,νά,True,True,False,psr,,False
68,phrase_line,c,a,-1,-,True,False,False,,,False
69,phrase_line,c,0,0,πλα,False,True,False,"g,is,v",v,False
70,phrase_line,b,a,-1,-,False,True,False,v,,False
71,phrase_line,b,p0,0,-,False,True,False,l,l,False
72,phrase_line,a,a,-1,-,False,False,False,l,,False
73,phrase_line,a,0,0,σιν,False,False,True,ap,,True
